EXAMPLE	SOURCE	REFERENCE	REFERENCE_PAGE	CAT	GROUPID	EDITOR	COMMENT	VERSION	COMMENT_INTERN
Eгда приведоша моисѣꙗ пр(д)е фараѡн(а). и ркоша старци фараѡни сии хощеть смири(т). ѡбласть егупетьску. ꙗкоже и бы(с).	NKRJa			FUTUR	SB0026	Sandra	This example has been adapted from the original source.	1	
Ѹмершю бо тобѣ, инъ приимεє(т) и начнε(т) вεселитисѧ в семъ, а ты всює трꙋжялъсѧ бꙋдεши.	NKRJa			DAT-ABS	SB0027	Sandra		1	
Большинство сотрудников пришли на собрание.				AGR-NUM	SB0028	Sandra		1	
Большинство сотрудников пришло на собрание.				AGR-NUM	SB0028	Sandra		1	
Несколько сотрудников пришло на собрание.				AGR-NUM	SB0028	Sandra		1	
Несколько сотрудников пришли на собрание.				AGR-NUM	SB0029	Sandra		1	
Первые два мальчика пришли вовремя.				AGR-NUM	SB0030	Sandra		1	
Два умные мальчика пришли вовремя.				AGR-NUM	SB0031	Sandra		1	
Два умных малчика пришли вовремя.				AGR-NUM	SB0031	Sandra		1	
Две умные девушки пришли вовремя.				AGR-NUM	SB0032	Sandra		1	
Две умных девушки пришли вовремя.				AGR-NUM	SB0032	Sandra		1	
Два года прошло в напряжённой работе.				AGR-NUM	SB0033	Sandra		1	
Два президента сочинили новый экономический союз.				AGR-NUM	SB0034	Sandra		1	
Na crnom su tržištu za audije postizali cijenu do 8000 njemačkih maraka, a volkswagene i mercedese prodavali su za 3000 maraka.				NAME	SB0035	Sandra		1	
V katalogu byly i škodovky, fabie i octavie, fordy, volkswageny, různě silná volva, nějaké mercedesy a jeden tmavězelený jaguar.				NAME	SB0036	Sandra		1	
У него несколько мерседесов.				NAME	SB0037	Sandra		1	
lśniące od chromu amerykańskie limuzyny, eleganckie mercedesy, maleńkie fiaty, poza tym ople, peugeoty, volkswageny.				NAME	SB0038	Sandra		1	
Podporu přislíbili i manželé Novotní.				NAME	SB0039	Sandra		1	
Ивановы были в отпуске.				NAME	SB0040	Sandra		1	
Nowickie bardzo się chwaliły listem od Ciebie [...]				NAME	SB0041	Sandra	This example has been adapted from the original source.	1	
Tada je, naime, obitelj Lucić u Samobor doselila iz Posavine.				NAME	SB0042	Sandra		1	
A pak jsme šli do jedné restaurace a on poručil tři piva a vrchní je donesl.				INCOUNT	SB0044	Sandra		1	
Oн разбирается в винах.				INCOUNT	SB0045	Sandra		1	
Bratr je zdráv.				SF-ADJ	SB0047	Sandra		1	
Bratr je zdrávý.				LF-ADJ	SB0047	Sandra		1	
Ovaj se vidi kao novoga gradonačelnika.				LF-ADJ	SB0048	Sandra		1	
Zagreb u srijedu dobiva novoga gradonačelnika.				LF-ADJ	SB0048	Sandra		1	
Брат здоров.				SF-ADJ	SB0049	Sandra		1	
Брат здоровый.				LF-ADJ	SB0049	Sandra		1	
On nejhezčí taxikář.				GRAD	SB0050	Sandra		1	
Bylo opatřeno novou matrací, potaženou černým voskovaným plátnem a dvěma tvrdými polštáři pod hlavu.				PASS, AGR-NUM	SB0051	Sandra		1	
Jesteś dla mnie najważniejszą osobą na świecie.				GRAD, NOMPRED	SB0052	Sandra		1	
Dziennikarz przytacza co pikantniejsze czy głupsze notki prasowe.				GRAD	SB0053	Sandra		1	
В прошлом году много детей занималось настольным теннисом.				AGR-NUM	SB0055	Sandra		1	
На уроках по лингвистике обсуждают новейшие теории.				GRAD	SB0056	Sandra		1	
Jedino što sam htio bilo je da napišem dobru knjigu.				COMP	SB0057	Sandra		1	
Rád bych si s vámi pohovořil.				AGRSEM	SB0059	Sandra		1	
Bio bih pristao da sam bio uvjeren.				COMP	SB0060	Sandra	This example has been adapted from the original source.	1	
Dům se staví.				PASS	SB0061	Sandra		1	
Ale ono se nemusí jezdit někam daleko.				DUMMY	SB0062	Sandra		1	
Dopis byl psán.				PASS	SB0063	Sandra		1	
Dopis je napsán.				PASS, RESULT	SB0063	Sandra		1	
Dopis je psán.				PASS, RESULT	SB0063	Sandra		1	
Dům je stavěn.				PASS	SB0064	Sandra		1	
Kniha bude zaplacena.				PASS	SB0065	Sandra	This example has been adapted from the original source.	1	
Kniha byla zaplacena.				PASS	SB0065	Sandra	This example has been adapted from the original source.	1	
Tko ulazi kao kandidat za budućeg papu ― tko je papabile ― taj obično ne biva izabran.				PASS	SB0066	Sandra	This example has been adapted from the original source.	1	
Ostali koji su iste večeri bili prevezeni u bolnicu, pušteni su kući.				PASS, RESULT	SB0067	Sandra		1	
U književnosti je taj problem često obrađivan.				PASS, ITER	SB0068	Sandra		1	
Do ljeta situacija mora biti sređena.				PASS	SB0069	Sandra		1	
Саша моется в ванне.				POSTFIX, REFL	SB0070	Sandra		1	
Я учусь в университете.				POSTFIX	SB0071	Sandra		1	
Женя научился правописанию.				POSTFIX	SB0072	Sandra		1	
Dr. Goreta je zaključio da Glasnović nije imao kontrolu nad sobom.				COMP	SB0073	Sandra		1	
Arek się myje w wannie.				REFL, REFCLIT	SB0074	Sandra		1	
Jak się pisze pana nazwisko?				PASS, REFCLIT	SB0075	Sandra		1	
Kasia boi się psów.				REFCLIT	SB0076	Sandra	This example has been adapted from the original source.	1	
Ania nauczyła się ortografii.				REFCLIT	SB0077	Sandra		1	
Żołnierze przestali otrzymywać listy z domu.				COMP	SB0078	Sandra	This example has been adapted from the original source.	1	
Hodně se spolu nasmáli.				REFCLIT	SB0079	Sandra		1	
Objali se a vášnivě políbili.				REFCLIT	SB0080	Sandra		1	
Toho muže už nebylo vidět, vyšel na ulici.				MOD	SB0081	Sandra		1	
Přijel jsem blíže a pořádně se rozhlédl. Uviděl jsem jezero.				REFCLIT	SB0082	Sandra		1	
Seděl na schodech a oddával se pochmurným myšlenkám.				REFCLIT	SB0083	Sandra		1	
Oni sami napišu što misle o sebi.				COMP	SB0084	Sandra		1	
My zůstáváme mezi sebou.				REFL	SB0085	Sandra	This example has been adapted from the original source.	1	
Vy zůstáváte mezi sebou.				REFL	SB0085	Sandra	This example has been adapted from the original source.	1	
Opowiadałam o sobie.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Opowiadałem o sobie.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Ty opowiadałaś o sobie.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Ty opowiadałeś o sobie.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Он рассказывал о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Она рассказывала о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Старик рассказывал о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Старуха рассказывала о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Ты рассказывал о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Ты рассказывала о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Я рассказывал о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Я рассказывала о себе.				REFL	SB0086	Sandra	This example has been adapted from the original source.	1	
Trojica boraca su došla.				AGR-NUM	SB0087	Sandra		1	
Это мое дитя. Ее зовут Лена.				AGRSEM	SB0088	Sandra		1	
Это наш новый психолог. Он является специалистом по возрастной психологии.				AGRSEM	SB0089	Sandra		1	
Это наш новый психолог. Она является специалистом по возрастной психологии.				AGRSEM	SB0089	Sandra		1	
Это наша новая психолог. Она является специалистом по возрастной психологии.				AGRSEM	SB0089	Sandra		1	
Uglednik se na jezik modernoga doba prevodi kao VIP.				REFCLIT	SB0090	Sandra		1	
Měřily se somatické parametry ― tělesná výška, obvod hlavy, obvod hrudníku.				REFCLIT, PASS	SB0091	Sandra	This example has been adapted from the original source.	1	
Taxi zastavilo před hotelem.				AGRSEM	SB0092	Sandra		1	
Istotnie, młode szympansy wydają się nam niezwykle podobne do ludzkich niemowląt.				REFCLIT	SB0093	Sandra		1	
Sindikati su nezadavoljni predloženim programom.				NOMPRED	SB0094	Sandra		1	
Mnoge reakcije bile vrlo negativne.				NOMPRED	SB0095	Sandra		1	
To su otvorena pitanja.				NOMPRED	SB0096	Sandra		1	
Existuje mnoho malých čaker, ale pouze sedm hlavních, z nichž každá odpovídá jedné barvě světelného spektra.				AGR-NUM	SB0097	Sandra		1	
Jučer smo čitale knjigu.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Jučer smo čitali knjigu.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Včera jsme četli knihu.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Včera jsme četly knihu.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Wczoraj czytaliśmy książkę.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Wczoraj czytałyśmy książkę.				AGRSEM	SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Вчера мы читали книгу.				AGRSEM	SB0098	Sandra		1	diese Beispiele sollten parallel geführt werden
To mój kolega z czasów, gdy pracowaliśmy w dziennikarskim fachu we Lwowie.				NOMPRED	SB0099	Sandra		1	
Znajomy dał mi swój nowy numer telefonu, pożegnał się i poszedł.				POSS	SB0100	Sandra		1	
Organizator putovanja bila je moja malenkost.				NOMPRED	SB0101	Sandra		1	
Czeka na pana jakiś mężczyzna.				IDEFIN	SB0102	Sandra		1	
Uvjeren sam da je Mirko došao.				COMP	SB0103	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden
Jestem przekonany, że Michał już przyszedł.				COMP	SB0104	Sandra		1	diese Beispiele sollten parallel geführt werden
Jsem přesvědčen, že Michal už přišel.				COMP	SB0104	Sandra		1	diese Beispiele sollten parallel geführt werden
Когда начнутся зимние каникулы, Ивановы поедут в отпуск.				NAME	SB0105	Sandra		1	
Соня сообщила, что она сегодня не может прийти.				COMP	SB0106	Sandra		1	
Była wiosna, gdy odwiedzili nas Nowakowie.				NAME	SB0107	Sandra		1	
Marek wierzy, że zda ten egzamin.				COMP	SB0108	Sandra		1	
Chcę wiedzieć, co myśli Michał.				COMP	SB0109	Sandra		1	
Chci vědět, co si Michal myslí.				COMP	SB0109	Sandra		1	
Zanima me što Mirko misli.				COMP	SB0109	Sandra		1	
Я хочу узнать, что думает Миша.				COMP	SB0109	Sandra		1	
Mógłby pan otworzyć okno?				SA-DIR	SB0110	Sandra		1	
Mohli byste otevřít okno?				SA-DIR	SB0110	Sandra		1	
Možete li otvoriti prozor?				SA-DIR	SB0110	Sandra		1	
Вы не могли бы открыть окно?				SA-DIR	SB0110	Sandra		1	
Čitaj ovu knjigu!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Čitajte ovu knjigu!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Czytaj tę książkę!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Czytajcie tę książkę!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Přečtěte tuto knihu!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Přečti tuto knihu!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Читай эту книгу!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Читайте эту книгу!				SA-DIR	SB0111	Sandra	This example has been adapted from the original source.	1	
Уберите комнату!				SA-DIR	SB0112	Sandra		1	
